Week,Year,GID,Name,Pos,Team,h/a,Oppt,Actual,FD salary
13,2019,7004,Buffalo Bills,Def,buf,a,dal,11,4000
13,2019,7031,Washington Redskins,Def,was,a,car,11,3200
13,2019,7012,Green Bay Packers,Def,gnb,a,nyg,10,4800
13,2019,7013,Indianapolis Colts,Def,ind,h,ten,10,4300
13,2019,7010,Denver Broncos,Def,den,h,lac,8,4400
13,2019,7017,Minnesota Vikings,Def,min,a,sea,8,3600
13,2019,7003,Baltimore Ravens,Def,bal,h,sfo,7,4000
13,2019,7014,Jacksonville Jaguars,Def,jac,h,tam,6,4400
13,2019,7005,Carolina Panthers,Def,car,h,was,6,4700
13,2019,7028,Seattle Seahawks,Def,sea,h,min,6,3700
13,2019,7032,Houston Texans,Def,hou,h,nwe,5,3200
13,2019,7006,Chicago Bears,Def,chi,a,det,5,5000
13,2019,7009,Dallas Cowboys,Def,dal,h,buf,4,4200
13,2019,7008,Cleveland Browns,Def,cle,a,pit,4,4600
13,2019,7027,San Francisco 49ers,Def,sfo,a,bal,4,3800
13,2019,7011,Detroit Lions,Def,det,h,chi,3,4400
13,2019,7016,Miami Dolphins,Def,mia,h,phi,3,3300
13,2019,7021,New York Jets,Def,nyj,a,cin,2,4900
13,2019,7018,New England Patriots,Def,nwe,a,hou,2,4900
13,2019,7026,Los Angeles Chargers,Def,lac,a,den,2,3900
13,2019,7023,Philadelphia Eagles,Def,phi,a,mia,1,5000
13,2019,7022,Oakland Raiders,Def,oak,a,kan,0,3100
13,2019,7002,Atlanta Falcons,Def,atl,h,nor,0,3200
13,2019,7001,Arizona Cardinals,Def,ari,h,lar,0,3500
13,2019,7020,New York Giants,Def,nyg,h,gnb,-1,3000
